Класс;Остался жив;Имя;Пол;Возрастная группа (лет);Возраст (лет);Братья, Сестры, Супруги на борту;Родители, дети на борту;Стоимость проезда ($);Категория стоимости ($);Порт посадки;Лодка;Пункт следования
1;yes;Allen, Miss. Elisabeth Walton;female;20 - 29;29;0;0;211,3375;210;Southampton;2;St Louis, MO
1;yes;Allison, Master. Hudson Trevor;male;0 - 9;0,9167;1;2;151,55;150;Southampton;11;Montreal, PQ / Chesterville, ON
1;no;Allison, Miss. Helen Loraine;female;0 - 9;2;1;2;151,55;150;Southampton;;Montreal, PQ / Chesterville, ON
1;no;Allison, Mr. Hudson Joshua Creighton;male;30 - 39;30;1;2;151,55;150;Southampton;;Montreal, PQ / Chesterville, ON
1;no;Allison, Mrs. Hudson J C (Bessie Waldo Daniels);female;20 - 29;25;1;2;151,55;150;Southampton;;Montreal, PQ / Chesterville, ON
1;yes;Anderson, Mr. Harry;male;40 - 49;48;0;0;26,55;30;Southampton;3;New York, NY
1;yes;Andrews, Miss. Kornelia Theodosia;female;60 - 69;63;1;0;77,9583;80;Southampton;10;Hudson, NY
1;no;Andrews, Mr. Thomas Jr;male;30 - 39;39;0;0;0;0;Southampton;;Belfast, NI
1;yes;Appleton, Mrs. Edward Dale (Charlotte Lamson);female;50 - 59;53;2;0;51,4792;50;Southampton;D;Bayside, Queens, NY
1;no;Artagaveytia, Mr. Ramon;male;70 - 79;71;0;0;49,5042;50;Cherbourg;;Montevideo, Uruguay
1;no;Astor, Col. John Jacob;male;40 - 49;47;1;0;227,525;230;Cherbourg;;New York, NY
1;yes;Astor, Mrs. John Jacob (Madeleine Talmadge Force);female;10 - 19;18;1;0;227,525;230;Cherbourg;4;New York, NY
1;yes;Aubart, Mme. Leontine Pauline;female;20 - 29;24;0;0;69,3;70;Cherbourg;9;Paris, France
1;yes;"Barber, Miss. Ellen ""Nellie""";female;20 - 29;26;0;0;78,85;80;Southampton;6;
1;yes;Barkworth, Mr. Algernon Henry Wilson;male;80 - 89;80;0;0;30;30;Southampton;B;Hessle, Yorks
1;no;Baumann, Mr. John D;male;unknown;;0;0;25,925;30;Southampton;;New York, NY
1;no;Baxter, Mr. Quigg Edmond;male;20 - 29;24;0;1;247,5208;250;Cherbourg;;Montreal, PQ
1;yes;Baxter, Mrs. James (Helene DeLaudeniere Chaput);female;50 - 59;50;0;1;247,5208;250;Cherbourg;6;Montreal, PQ
1;yes;Bazzani, Miss. Albina;female;30 - 39;32;0;0;76,2917;80;Cherbourg;8;
1;no;Beattie, Mr. Thomson;male;30 - 39;36;0;0;75,2417;80;Cherbourg;A;Winnipeg, MN
1;yes;Beckwith, Mr. Richard Leonard;male;30 - 39;37;1;1;52,5542;50;Southampton;5;New York, NY
1;yes;Beckwith, Mrs. Richard Leonard (Sallie Monypeny);female;40 - 49;47;1;1;52,5542;50;Southampton;5;New York, NY
1;yes;Behr, Mr. Karl Howell;male;20 - 29;26;0;0;30;30;Cherbourg;5;New York, NY
1;yes;Bidois, Miss. Rosalie;female;40 - 49;42;0;0;227,525;230;Cherbourg;4;
1;yes;Bird, Miss. Ellen;female;20 - 29;29;0;0;221,7792;220;Southampton;8;
1;no;Birnbaum, Mr. Jakob;male;20 - 29;25;0;0;26;30;Cherbourg;;San Francisco, CA
1;yes;Bishop, Mr. Dickinson H;male;20 - 29;25;1;0;91,0792;90;Cherbourg;7;Dowagiac, MI
1;yes;Bishop, Mrs. Dickinson H (Helen Walton);female;10 - 19;19;1;0;91,0792;90;Cherbourg;7;Dowagiac, MI
1;yes;Bissette, Miss. Amelia;female;30 - 39;35;0;0;135,6333;140;Southampton;8;
1;yes;Bjornstrom-Steffansson, Mr. Mauritz Hakan;male;20 - 29;28;0;0;26,55;30;Southampton;D;Stockholm, Sweden / Washington, DC
1;no;Blackwell, Mr. Stephen Weart;male;40 - 49;45;0;0;35,5;40;Southampton;;Trenton, NJ
1;yes;Blank, Mr. Henry;male;40 - 49;40;0;0;31;30;Cherbourg;7;Glen Ridge, NJ
1;yes;Bonnell, Miss. Caroline;female;30 - 39;30;0;0;164,8667;160;Southampton;8;Youngstown, OH
1;yes;Bonnell, Miss. Elizabeth;female;50 - 59;58;0;0;26,55;30;Southampton;8;Birkdale, England Cleveland, Ohio
1;no;Borebank, Mr. John James;male;40 - 49;42;0;0;26,55;30;Southampton;;London / Winnipeg, MB
1;yes;Bowen, Miss. Grace Scott;female;40 - 49;45;0;0;262,375;260;Cherbourg;4;Cooperstown, NY
1;yes;Bowerman, Miss. Elsie Edith;female;20 - 29;22;0;1;55;60;Southampton;6;St Leonards-on-Sea, England Ohio
1;yes;"Bradley, Mr. George (""George Arthur Brayton"")";male;unknown;;0;0;26,55;30;Southampton;9;Los Angeles, CA
1;no;Brady, Mr. John Bertram;male;40 - 49;41;0;0;30,5;30;Southampton;;Pomeroy, WA
1;no;Brandeis, Mr. Emil;male;40 - 49;48;0;0;50,4958;50;Cherbourg;;Omaha, NE
1;no;Brewe, Dr. Arthur Jackson;male;unknown;;0;0;39,6;40;Cherbourg;;Philadelphia, PA
1;yes;Brown, Mrs. James Joseph (Margaret Tobin);female;40 - 49;44;0;0;27,7208;30;Cherbourg;6;Denver, CO
